State,Category,Superset,Subsets,,,,,,
Uttarakhand,Physical Appearance,Weather-tanned and rugged,Lean frame, sturdy legs, calloused feet,,,,
Uttarakhand,Physical Appearance,Sharp features,High cheekbones, thick eyebrows, bushy moustache,,,,
Uttarakhand,Physical Appearance,Unkempt and wiry,Unkempt hair, wiry build, sunburned cheeks,,,,
Uttarakhand,Clothing,Traditional woolen attire,Woolen caps, Kumaoni topi, shawls, pattu coats,,,
Uttarakhand,Clothing,Practical and rustic,Wooden sandals (khadau), coarse cotton trousers, tribal bead necklaces,,,,
Uttarakhand,Food and Lifestyle,Ghee-rich and hearty meals,Bajra roti, ghee-rich meals, aloo ke gutke, chainsoo,,,
Uttarakhand,Food and Lifestyle,Local delicacies and rituals,Madua laddoos, local honey, bhang-infused dishes,,,,
Uttarakhand,Food and Lifestyle,Pilgrim lifestyle,Holy river dips, early rising, paan chewing,,,,
Uttarakhand,Work and Jobs,Agriculture and animal husbandry,Apple farmers, shepherds (Gaddi), chestnut collectors,,,,
Uttarakhand,Work and Jobs,Skilled in mountain professions,Mountain porters (pithu), trekking guides, forest guides,,,,
Uttarakhand,Work and Jobs,Army and labor roles,Army recruits, hydroelectric laborers, beedi rollers,,,,
Uttarakhand,Others,Temple-pilgrimage obsession,Char Dham, holy river dips, priestly-elite dominance,,,,
Uttarakhand,Others,Remote-village stereotypes,“Road-less beyond” myth, Himalayan hermits, landslide-prone roads,,,,
Uttarakhand,Others,Pollution-free brag,Youth exodus, slow internet, tiger-reserve braggers,,,,
Delhi,Personality,Assertive and street-smart,Boastful, impatient, ever-rushing, politically savvy,,,
Delhi,Personality,Entrepreneurial and opportunistic,Deal-makers, sidewalk entrepreneurs, risk-taking,,,,
Delhi,Personality,Materialistic and status-obsessed,Flashy, attention-seeking, branded handbags, gold chains,,,
Delhi,Personality,Competitive and impatient,Impatient drivers, back-seat critics, cynics,,,,
Delhi,Personality,Social and gossip-loving,Network-driven, gossip-loving, help-yourself-first attitude,,,,
Delhi,Physical Appearance,Well-groomed and trendy,Medium complexion, manicured nails, sharp features, polished shoes,,,
Delhi,Physical Appearance,Cosmetic enhancements,Contoured makeup, fake eyelashes, Botox-look foreheads,,,,
Delhi,Physical Appearance,Trendy hairstyles and accessories,Dyed hair highlights, tattoo accents, aviator sunglasses,,,,
Delhi,Clothing,Designer and flashy attire,Designer salwar-kameez, Nehru jackets, ripped jeans, logo-heavy shirts,,,
Delhi,Clothing,Branded and statement pieces,Branded sneakers, statement belts, heavy perfume, wallet chains,,,
Delhi,Food and Lifestyle,Street-food fiends,Chaat, golgappas, butter-laden parathas, kebabs, biryanis,,
Delhi,Food and Lifestyle,Urban lifestyle enthusiasts,Café-hoppers, microbrewery regulars, juice-cleanse devotees,,,,
Delhi,Food and Lifestyle,Traffic-stress sufferers,Real-estate hoarders, pollution-complainers, smog-masked faces,,,,
Delhi,Work and Jobs,Corporate and tech professionals,IT professionals, corporate managers, call-center agents,,,,
Delhi,Work and Jobs,Hustlers and freelancers,Street vendors, freelance photographers, social-media marketers,,,,
Delhi,Work and Jobs,Government and service sector,Government bureaucrats, cab drivers, mall security guards,,,,
Delhi,Others,Hindi-Urdu mix and metro experts,Pothole-dodgers, metro-commute veterans, Chandni Chowk nostalgics,,,,
Delhi,Others,Heritage and food pride,CR Park food pilgrims, heritage-pride braggarts,,,,,
Delhi,Others,Social climbers,Wedding-season obsessives, designer-pet owners, rooftop party hosts,,,,
Ladakh,Personality,Peaceful and introspective,Nature-loving, spiritual, stoic, slow-paced,,,
Ladakh,Personality,Hospitable and community-oriented,Reserved, hardy, proud, superstitious,,,
Ladakh,Personality,Traditionalist and independent,Backward, gullible, naïve,,,,
Ladakh,Physical Appearance,Fair to medium complexion,Weather-tanned skin, sturdy build, lean frame,,,,
Ladakh,Physical Appearance,Sharp features,High cheekbones, sharp nose, thick eyebrows, dark straight hair,,,
Ladakh,Physical Appearance,Calloused hands and feet,Calloused hands, calloused feet, sun-burned cheeks,,,,
Ladakh,Clothing,Traditional attire,Bakhu (traditional robe), goncha (padded coat), woolen caps,,,,
Ladakh,Clothing,Practical and rustic,Yak-wool jackets, leather boots, prayer-flag scarves,,,,
Ladakh,Food and Lifestyle,Thukpa and momo staples,Butter tea, tsampa (barley flour), barley beer,,,,
Ladakh,Food and Lifestyle,Nomadic and minimalist living,Wild-herb foraging, high-altitude farming, minimal use of spices,,,,
Ladakh,Food and Lifestyle,Seasonal migration,Barefoot grazing, seasonal migration, yak-milk products,,,,
Ladakh,Work and Jobs,Agriculture and animal husbandry,Yak herders, potato farmers, nomadic yak-herding lifestyle,,,,
Ladakh,Work and Jobs,Skilled artisans,Carpet weavers, handicraft artisans,,,,,
Ladakh,Work and Jobs,Tourism and government roles,Tourist guides, monastery caretakers, government clerks,,,,
Ladakh,Others,Strong Buddhist identity,Prayer-wheel ritualists, “roof of the world” pride,,,,,
Ladakh,Others,Remote and inaccessible stereotypes,Road-less myths, wildlife-offender rumors, “land of lonely plains”,,,,
Ladakh,Others,Otherworldly landscape worship,Hillbilly image, indecipherable accent myth, seasonal road closures,,,,
Puducherry,Personality,Laid-back and peace-loving,Calm, slow-paced, romantic, nostalgic,,,
Puducherry,Personality,Artistic and intellectual,Creative, bohemian, inward-looking,,,,
Puducherry,Personality,Hospitable and culturally hybrid,Friendly, tolerant, liberal,,,,
Puducherry,Personality,Francophile tendencies,Colonial hangover, modern-yet-rooted, French passport rumors,,,,
Puducherry,Physical Appearance,Coastal-influenced appearance,Dusky complexion, lean build, coastal tan,,,,
Puducherry,Physical Appearance,Minimalist grooming,Neat appearance, clean-shaven, simple clothing sense,,,,
Puducherry,Physical Appearance,French-inspired styling,French-influenced grooming, sharp features, expressive eyes,,,,
Puducherry,Clothing,Traditional-meets-modern attire,Linen shirts, khadi kurtas, veshti, lungi,,,
Puducherry,Clothing,Beach-friendly casuals,Floral shirts, beachwear, flip-flops, sun hats,,,
Puducherry,Clothing,Indo-western fusion,Kurta-jeans combo, jholas, chic casuals,,,,
Puducherry,Food and Lifestyle,Tamil-French cuisine fusion,Baguettes and dosas, croissants with filter coffee,,,,,
Puducherry,Food and Lifestyle,Seafood and coconut-based meals,Fish curry and rice staple, coconut-rich cooking,,,,,
Puducherry,Food and Lifestyle,Café culture enthusiasts,Café hopping, leisurely brunches, experimental eating,,,,
Puducherry,Food and Lifestyle,Anti-fast food lifestyle,Bread in every meal, European desserts, Chikku juice everywhere,,,,
Puducherry,Work and Jobs,Tourism and hospitality roles,Café owners, yoga teachers, art curators,,,,
Puducherry,Work and Jobs,Spiritual and cultural workers,Aurobindo ashram caretakers, handloom weavers, NGO workers,,,,
Puducherry,Work and Jobs,Academics and translators,English-French translators, Puducherry university faculty,,,,,
Puducherry,Others,French colony nostalgia,Mini France trope, colonial architecture obsession,,,,,
Puducherry,Others,Auroville mysticism,New Age spirituality label, universal township idealism,,,,,
Puducherry,Others,Spiritual-tourist destination,Yoga haven reputation, escapist destination,,,,,
Puducherry,Others,Disconnected from Tamil Nadu,Poor Tamil skills stereotype, isolated from Tamil politics,,,,,
Lakshadweep,Personality,Peaceful and hospitable,Laid-back, reserved, deeply religious,,,,
Lakshadweep,Personality,Family-centric and traditional,Conservative, close-knit, modest,,,,
Lakshadweep,Personality,Water-loving and eco-conscious,Fishing-based routines, coral-reef reverence, tide-watchers,,,,
Lakshadweep,Personality,Slow-paced and contented,Unambitious, quiet, naive,,,,
Lakshadweep,Personality,Shy and insular,Cautious, isolated, shy,,,,
Lakshadweep,Physical Appearance,Medium to dark complexion,Lean build, sun- and salt-weathered skin,,,,,
Lakshadweep,Physical Appearance,Salt-bleached and wind-creased,Curly hair, calloused feet, barefoot-hardened feet,,,,
Lakshadweep,Physical Appearance,Expressive eyes and smooth skin,Dark expressive eyes, thick eyelashes, broad noses,,,,
Lakshadweep,Clothing,Traditional and minimalist attire,White mundu (dhoti), cotton lungi, simple T-shirts,,,,
Lakshadweep,Clothing,Barefoot-friendly clothing,Simple sandals, faded fabrics, straw hats,,,,
Lakshadweep,Food and Lifestyle,Coconut-heavy seafood diet,Fish-drumstick curries, tapioca staples, toddy drinkers,,,,
Lakshadweep,Food and Lifestyle,Minimal processed food,Home-grown vegetables, sun-dried fish, seaweed consumption,,,,
Lakshadweep,Food and Lifestyle,Communal and eco-friendly living,Communal feasts (mehfil), coconut-coir crafts,,,,,
Lakshadweep,Work and Jobs,Fishing and boat-based professions,Fishermen, boatmen, boat-tour operators,,,,
Lakshadweep,Work and Jobs,Coconut and coir industries,Coconut-pickers, coir-makers, toddy tappers,,,,
Lakshadweep,Work and Jobs,Local service roles,Mosque caretakers, rural teachers, government clerks,,,,
Lakshadweep,Others,Strong Muslim identity,Mosque-hub life, Sunni-leaning reputations,,,,,
Lakshadweep,Others,Coral-island nationalism,“Maldives of India” taggers, eco-paradise lovers,,,,,
Lakshadweep,Others,Isolated archipelago life,Remote-community life, limited Hindi proficiency,,,,,
Lakshadweep,Others,Sea-level anxiety,Cyclone-fear stories, sea-level anxiety,,,,,
Andaman and Nicobar,Personality,Laid-back and hospitable,Friendly, reserved, peaceful,,,,
Andaman and Nicobar,Personality,Nature-obsessed and eco-conscious,Water-loving, survivalist, communal, climate-adaptable,,,
Andaman and Nicobar,Personality,Cautious and skeptical of mainlanders,Shy with outsiders, cautious, slow-paced,,,,
Andaman and Nicobar,Personality,Story-loving and introspective,Tribal-spirited, moody in monsoon, pirates-of-the-East myth,,,,
Andaman and Nicobar,Physical Appearance,Sun-weathered and rugged,Medium to dark complexion, sun-weathered skin, lean build,,,,
Andaman and Nicobar,Physical Appearance,Beach-hardened and calloused,Calloused hands, barefoot feet, boat-tanned shoulders,,,,
Andaman and Nicobar,Physical Appearance,Tribal aesthetic,Tribal tattoos, broad noses, sea-glazed eyes,,,,
Andaman and Nicobar,Clothing,Simple and beach-ready attire,Cotton shorts, sarongs, flip-flops, barefoot-friendly footwear,,,
Andaman and Nicobar,Clothing,Practical and weatherproof,Rain ponchos, waterproof sandals, utility belts,,,,
Andaman and Nicobar,Clothing,Minimal jewelry and eco-crafts,Coconut-shell necklaces, woven shells, shell-sculpture makers,,,,
Andaman and Nicobar,Food and Lifestyle,Seafood and coconut-based diet,Fish-drumstick curries, coconut-heavy cooking, fish-chili paste addiction,,,,
Andaman and Nicobar,Food and Lifestyle,Tide-dependent and eco-living,Foraging in forests, sun-drying foods, turtle-meat legends,,,,
Andaman and Nicobar,Food and Lifestyle,Cyclone-preparation culture,Shelter-savvy, forest-medicine reliance, coconut-water sippers,,,,
Andaman and Nicobar,Work and Jobs,Fishing and marine professions,Fishermen, boatmen, pearl divers (old stereotype), marine-life conservationists,,,
Andaman and Nicobar,Work and Jobs,Coconut-based industries,Coconut harvesters, coconut-cracker women, coconut coir artisans,,,,
Andaman and Nicobar,Work and Jobs,Tourism and government roles,Tourist guides, island teachers, government clerks,,,,
Andaman and Nicobar,Others,Strong tribal identity,Indigenous Nicobarese myths, Jarawa-savage stereotype,,,,,
Andaman and Nicobar,Others,Remote-archipelago lifestyle,“Mini Australia” fantasies, maritime-lore lovers, lighthouse-keepers’ solitude,,,,
Andaman and Nicobar,Others,Coral-reef worship and jungle-law,Forest-spirit beliefs, coral-reef worship, jungle-law assumptions,,,,
Dadra and Nagar Haveli and Daman and Diu,Personality,Laid-back and coastal-living,Relaxed, easygoing, water-loving, night-owl,,,
Dadra and Nagar Haveli and Daman and Diu,Personality,Hospitable and community-centric,Family-bound, host to festivals, celebratory,,,,
Dadra and Nagar Haveli and Daman and Diu,Personality,Shrewd and migratory mindsets,Interested in quick money, politically-aware, reserved with strangers,,,,
Dadra and Nagar Haveli and Daman and Diu,Personality,Pious and superstitious,Eco-conscious, land-pride defenders, cocktail-holiday types,,,,
Dadra and Nagar Haveli and Daman and Diu,Physical Appearance,Medium to dark complexion,Sun-tanned skin, lean fisherman’s builds, calloused hands and feet,,,,
Dadra and Nagar Haveli and Daman and Diu,Physical Appearance,Coastal-rugged looks,Weather-beaten faces, curly or wavy hair, broad noses,,,,
Dadra and Nagar Haveli and Daman and Diu,Physical Appearance,Barefoot-accustomed stance,Tribal tattoos, hearty smiles, stout frames,,,,
Dadra and Nagar Haveli and Daman and Diu,Clothing,Traditional and practical attire,Cotton lungi/dhoti, simple kurtas, cotton sarees,,,,
Dadra and Nagar Haveli and Daman and Diu,Clothing,Beachwear and casual vibes,Bright floral shirts, flip-flops, sarongs, straw hats,,,
Dadra and Nagar Haveli and Daman and Diu,Clothing,Shell jewelry and handloom accessories,Shell jewelry, handloom scarves, beaded anklets,,,,
Dadra and Nagar Haveli and Daman and Diu,Food and Lifestyle,Seafood dependency,Fish-curry lovers, coconut-heavy dishes, palm-sap (toddy) drinkers,,,,
Dadra and Nagar Haveli and Daman and Diu,Food and Lifestyle,Festival-specific traditions,Sunday festas (church gatherings), homemade sausages, festival sweets,,,,
Dadra and Nagar Haveli and Daman and Diu,Food and Lifestyle,Beachside and tide-based living,Beachside eating, fishing-morning routines, moonlit beach hangouts,,,,
Dadra and Nagar Haveli and Daman and Diu,Work and Jobs,Fishing and marine professions,Fishermen, boatmen, pearl collectors (old myth), seafood vendors,,,
Dadra and Nagar Haveli and Daman and Diu,Work and Jobs,Coconut and toddy industries,Coconut climbers, toddy tappers, cashew nut processors,,,,
Dadra and Nagar Haveli and Daman and Diu,Work and Jobs,Local service roles,Church caretakers, village teachers, small-boat tour guides,,,,
Dadra and Nagar Haveli and Daman and Diu,Others,Strong Catholic/Christian identity,Church-festival mania, Portuguese legacy pride, carnival traditions,,,,
Dadra and Nagar Haveli and Daman and Diu,Others,Island-archipelago myths,“Goa-lite” tourist vibe, jungle-bootleggers rumor, remote-island living,,,,
Dadra and Nagar Haveli and Daman and Diu,Others,Multi-lingual and laid-back enforcement,Restricted Hindi fluency, multi-lingual, laid-back law-enforcement,,,,
Chandigarh,Personality,Urban elite and affluent,Brand-conscious, status-driven, trendy,,,,
Chandigarh,Personality,Health-conscious and fitness-focused,Gym-obsessed, wellness-retreat attendees, fitness fanatic,,,,
Chandigarh,Personality,Socially competitive,Night-owl, selfie-obsessed, socially competitive,,,,
Chandigarh,Personality,Eco-aware and refined,Protector-of-environment, eco-aware, neat-freak,,,,
Chandigarh,Personality,Career-focused and aspirational,Crash-course aspirants, metro-commute drivers, IT professionals,,,,
Chandigarh,Physical Appearance,Well-groomed and stylish,Fair-to-wheatish complexion, manicured nails, styled haircuts,,,,
Chandigarh,Physical Appearance,Fitness-toned and cosmetic-enhanced,Fitness-toned bodies, minimalistic makeup, cosmetic-boosted features,,,,
Chandigarh,Physical Appearance,Designer accessories and trends,Designer frames, branded accessories, light tan lines,,,,
Chandigarh,Clothing,Designer and branded attire,Designer kurta-pyjama, pastel linen shirts, monogrammed handbags,,,,
Chandigarh,Clothing,Athleisure and casual chic,Athleisure wear, yoga pants, loafers with socks,,,,
Chandigarh,Food and Lifestyle,Coffee-shop and brunch culture,Brunch lovers, avocado-toast eaters, smoothie-bowl fans,,,,
Chandigarh,Food and Lifestyle,Organic and health-focused,Quinoa salads, cold-pressed juices, organic-farm-buyers,,,,
Chandigarh,Food and Lifestyle,Rooftop and staycation enthusiasts,Rooftop dinner seekers, beach-vibe staycationers,,,,,
Chandigarh,Work and Jobs,IT and finance professionals,IT professionals, fintech professionals, CFA/CA aspirants,,,,
Chandigarh,Work and Jobs,Wellness and lifestyle careers,Fitness trainers, wellness coaches, boutique owners,,,,
Chandigarh,Work and Jobs,Education and consulting roles,Education-consultants, private-school teachers, NGO workers,,,,
Chandigarh,Others,Planned-city pride,Garden-city braggers, no-pothole myth believers,,,,,
Chandigarh,Others,Metro-smart card and traffic etiquette,Metro-smart card lovers, traffic-politeness myth,,,,,
Chandigarh,Others,Sukhna Lake and greenbelt obsession,“Sukhna Lake stalkers,” greenbelt gardeners,,,,,
Chandigarh,Others,Sector-pride and city-layout bragging,Planned-city pride, “architect’s city” believers, sector-pride loudspeakers,,,,
Jammu,Personality,Warm and hospitable,Devout, family-oriented, sincere,,,,
Jammu,Personality,Conservative and traditionalist,Nationalist, proud, resilient,,,,
Jammu,Personality,Community-driven and practical,Rural-minded, assertive, blunt,,,,
Jammu,Personality,Festival-loving and faith-driven,Martial-spirited, emotionally expressive,,,,,
Jammu,Physical Appearance,Medium to fair complexion,Sturdy build, thick mustaches, high cheekbones,,,,
Jammu,Physical Appearance,Weather-worn and hardy,Calloused hands, sun-tanned arms, neat-bearded men,,,,
Jammu,Physical Appearance,Traditional grooming,“Jammu cut” haircut, straight black/brown hair, plump cheeks,,,,
Jammu,Clothing,Traditional attire,Pheran (robe), suthan (loose pants), shawls, preg (turban),,,
Jammu,Clothing,Practical and rustic clothing,Wool caps, hand-knitted sweaters, leather boots,,,,
Jammu,Clothing,Silver jewelry and accessories,Glass bangles, silver jewelry (women), prayer-bead necklaces,,,,
Jammu,Food and Lifestyle,Rajma-chawal lovers,Kaladi basket cheese addiction, bajra-roti meals,,,,,
Jammu,Food and Lifestyle,Seasonal and festive eating,Apricot-harvest obsession, festival sweets, pickle hoarding,,,,
Jammu,Food and Lifestyle,Pilgrimage and rural lifestyle,Roadside paan habit, early-riser routines, pilgrimage travel culture,,,,
Jammu,Work and Jobs,Agriculture-focused professions,Agriculturists (maize, bajra), orchardists (apricots, basohli),,,
Jammu,Work and Jobs,Local service roles,Shopkeepers, government school teachers, temple caretakers,,,,
Jammu,Work and Jobs,Skilled labor,Woodcutters, local contractors, builders,,,,
Jammu,Others,Strong Hindu identity,Temple-centric, butter-lamps devotees, Batote-pass lovers,,,,
Jammu,Others,Duggar pride and cultural heritage,Cherry-festival folk, local dialect (“Pahari”) pride,,,,,
Jammu,Others,Rural and pilgrimage-centric life,Vehicle convoy lovers, winter-snow escapees, refugee-guest myths,,,,
